"camera1_ray_s_x","camera1_ray_s_y","camera1_ray_s_z","camera1_ray_t_x","camera1_ray_t_y","camera1_ray_t_z","camera2_ray_s_x","camera2_ray_s_y","camera2_ray_s_z","camera2_ray_t_x","camera2_ray_t_y","camera2_ray_t_z","intersect_ray_s_x","intersect_ray_s_y","intersect_ray_s_z","intersect_ray_t_x","intersect_ray_t_y","intersect_ray_t_z"
0,0,0,-0.251369,0.310837,0.916621,0.116276,0.00346323,0.00324302,-0.377871,0.306466,0.873666,-0.204998,0.253495,0.747527,0.000732437,0.00993785,-0.00316918
0,0,0,-0.275248,0.308711,0.910459,0.116276,0.00346323,0.00324302,-0.398892,0.30367,0.865257,-0.225723,0.253165,0.746642,0.000755161,0.0100806,-0.00318974
0,0,0,-0.298463,0.30647,0.903878,0.116276,0.00346323,0.00324302,-0.419163,0.300781,0.85664,-0.246251,0.252857,0.745757,0.000772908,0.010192,-0.00320035
0,0,0,-0.321214,0.304159,0.896833,0.116276,0.00346323,0.00324302,-0.438908,0.297817,0.847741,-0.266717,0.252555,0.744677,0.000780821,0.0102552,-0.00319839
0,0,0,-0.343273,0.301634,0.889484,0.116276,0.00346323,0.00324302,-0.457973,0.294758,0.838677,-0.286776,0.25199,0.743089,0.000798792,0.0103691,-0.00320804
0,0,0,-0.364794,0.29901,0.88177,0.116276,0.00346323,0.00324302,-0.476391,0.291644,0.829455,-0.306913,0.251567,0.741862,0.000814945,0.010472,-0.00321394
0,0,0,-0.385676,0.296359,0.873742,0.116276,0.00346323,0.00324302,-0.494163,0.288475,0.820113,-0.326895,0.251191,0.740573,0.000818312,0.0105021,-0.00320083
0,0,0,-0.406054,0.293536,0.865423,0.116276,0.00346323,0.00324302,-0.511389,0.285252,0.810625,-0.34686,0.250745,0.739263,0.00083217,0.0105903,-0.0032016
0,0,0,-0.425794,0.290598,0.856885,0.116276,0.00346323,0.00324302,-0.527995,0.281956,0.801075,-0.366643,0.250228,0.737846,0.000844359,0.0106696,-0.0031988
0,0,0,-0.253433,0.287152,0.923751,0.116276,0.00346323,0.00324302,-0.380628,0.283585,0.880172,-0.205153,0.232448,0.747771,0.00071457,0.00996262,-0.0029009
0,0,0,-0.277382,0.285166,0.917464,0.116276,0.00346323,0.00324302,-0.401704,0.280957,0.871606,-0.225747,0.232082,0.746676,0.00073339,0.0100837,-0.0029124
0,0,0,-0.30079,0.283084,0.910708,0.116276,0.00346323,0.00324302,-0.422153,0.278273,0.862758,-0.246204,0.231711,0.745436,0.000749499,0.0101954,-0.00292164
0,0,0,-0.323625,0.28091,0.903525,0.116276,0.00346323,0.00324302,-0.44191,0.275486,0.853711,-0.266649,0.231454,0.744455,0.000758171,0.0102516,-0.00291574
0,0,0,-0.345817,0.278566,0.895998,0.116276,0.00346323,0.00324302,-0.461023,0.272658,0.844462,-0.286771,0.231003,0.743013,0.000776321,0.0103714,-0.00292486
0,0,0,-0.367406,0.276172,0.888111,0.116276,0.00346323,0.00324302,-0.479504,0.269767,0.835046,-0.306741,0.230571,0.741468,0.000786483,0.0104373,-0.00292021
0,0,0,-0.388369,0.273679,0.879926,0.116276,0.00346323,0.00324302,-0.497334,0.266825,0.825508,-0.326562,0.230124,0.73989,0.000795275,0.0104998,-0.00291473
0,0,0,-0.408825,0.271021,0.871441,0.116276,0.00346323,0.00324302,-0.514601,0.263826,0.815832,-0.346414,0.229647,0.738407,0.000813067,0.0106122,-0.00291896
0,0,0,-0.428638,0.268357,0.862702,0.116276,0.00346323,0.00324302,-0.53119,0.260814,0.806109,-0.366312,0.229336,0.737259,0.000822067,0.010674,-0.00291187
0,0,0,-0.255359,0.262745,0.930461,0.116276,0.00346323,0.00324302,-0.383256,0.260125,0.886256,-0.205161,0.211095,0.747552,0.00070858,0.0100541,-0.0026446
0,0,0,-0.279458,0.261024,0.923997,0.116276,0.00346323,0.00324302,-0.40443,0.257716,0.877507,-0.225769,0.210876,0.746479,0.000713453,0.0100946,-0.00263584
0,0,0,-0.302977,0.259085,0.917104,0.116276,0.00346323,0.00324302,-0.424891,0.255246,0.868514,-0.246282,0.210604,0.745491,0.000732601,0.0102194,-0.00264496
0,0,0,-0.325857,0.257126,0.909782,0.116276,0.00346323,0.00324302,-0.444764,0.25274,0.859248,-0.266362,0.21018,0.743676,0.000743687,0.0102965,-0.0026437
0,0,0,-0.348202,0.25496,0.902081,0.116276,0.00346323,0.00324302,-0.463922,0.250133,0.849829,-0.286613,0.209863,0.742524,0.000761449,0.0104151,-0.00264984
0,0,0,-0.369907,0.252735,0.894033,0.116276,0.00346323,0.00324302,-0.482462,0.24749,0.840226,-0.306552,0.209448,0.74091,0.00077787,0.010515,-0.00265062
0,0,0,-0.390961,0.250468,0.885672,0.116276,0.00346323,0.00324302,-0.500302,0.244751,0.830539,-0.326472,0.209153,0.739581,0.000777602,0.010525,-0.00263327
0,0,0,-0.41148,0.248027,0.877022,0.116276,0.00346323,0.00324302,-0.517611,0.241979,0.820686,-0.346201,0.208679,0.737888,0.000791878,0.0106184,-0.00263137
0,0,0,-0.431368,0.245608,0.8681,0.116276,0.00346323,0.00324302,-0.534285,0.239153,0.810768,-0.365903,0.208334,0.736355,0.000787526,0.0106066,-0.00260967
0,0,0,-0.257061,0.238033,0.936622,0.116276,0.00346323,0.00324302,-0.385631,0.236283,0.891885,-0.205098,0.189917,0.747293,0.00068529,0.0100378,-0.00236291
0,0,0,-0.281313,0.236372,0.930049,0.116276,0.00346323,0.00324302,-0.406876,0.234108,0.882975,-0.225725,0.189665,0.746269,0.00070639,0.0101729,-0.00237167
0,0,0,-0.304923,0.234728,0.922998,0.116276,0.00346323,0.00324302,-0.42748,0.231913,0.873772,-0.246005,0.189373,0.744653,0.00071615,0.0102437,-0.00236851
0,0,0,-0.327976,0.232846,0.91554,0.116276,0.00346323,0.00324302,-0.447357,0.229615,0.864377,-0.266336,0.189084,0.743472,0.000737369,0.0103831,-0.0023765
0,0,0,-0.350382,0.231001,0.907673,0.116276,0.00346323,0.00324302,-0.466586,0.227217,0.854792,-0.286448,0.18885,0.742049,0.000734806,0.0103728,-0.00235611
0,0,0,-0.372239,0.228914,0.899465,0.116276,0.00346323,0.00324302,-0.485192,0.224762,0.845027,-0.306498,0.188486,0.740611,0.000749677,0.0104778,-0.00235641
0,0,0,-0.393374,0.226913,0.890936,0.116276,0.00346323,0.00324302,-0.503135,0.222315,0.835123,-0.326167,0.188145,0.738721,0.000750273,0.0104845,-0.00233901
0,0,0,-0.413984,0.224657,0.882126,0.116276,0.00346323,0.00324302,-0.520469,0.219821,0.8251,-0.3459,0.18771,0.73705,0.000772595,0.0106282,-0.00234425
0,0,0,-0.433926,0.222524,0.873035,0.116276,0.00346323,0.00324302,-0.537189,0.217281,0.814995,-0.365424,0.187395,0.735212,0.000765592,0.0105954,-0.00232011
0,0,0,-0.258656,0.212814,0.942235,0.116276,0.00346323,0.00324302,-0.387824,0.212094,0.897,-0.205058,0.168715,0.746987,0.000678003,0.010109,-0.00209713
0,0,0,-0.283003,0.211458,0.935518,0.116276,0.00346323,0.00324302,-0.409184,0.210164,0.887919,-0.225554,0.168532,0.74561,0.000683159,0.0101496,-0.00208747
0,0,0,-0.306755,0.209897,0.928356,0.116276,0.00346323,0.00324302,-0.429776,0.208212,0.878602,-0.246016,0.168336,0.744535,0.000707269,0.0103032,-0.0020957
0,0,0,-0.329942,0.208317,0.920729,0.116276,0.00346323,0.00324302,-0.449788,0.20611,0.869028,-0.266292,0.16813,0.743109,0.000707299,0.0103159,-0.00208056
0,0,0,-0.352411,0.206652,0.912744,0.116276,0.00346323,0.00324302,-0.469103,0.203966,0.859267,-0.28617,0.167809,0.741182,0.000708461,0.0103296,-0.00206518
0,0,0,-0.374331,0.204812,0.904394,0.116276,0.00346323,0.00324302,-0.487746,0.201855,0.849328,-0.306087,0.167473,0.739514,0.000731558,0.0104835,-0.00207138
0,0,0,-0.395572,0.203024,0.895714,0.116276,0.00346323,0.00324302,-0.505697,0.199624,0.839298,-0.325911,0.167271,0.737977,0.00072667,0.0104584,-0.00204957
0,0,0,-0.416251,0.201043,0.886745,0.116276,0.00346323,0.00324302,-0.523093,0.197389,0.829103,-0.34551,0.166877,0.736046,0.000742018,0.0105615,-0.00204629
0,0,0,-0.436287,0.1991,0.877504,0.116276,0.00346323,0.00324302,-0.539873,0.195123,0.818819,-0.364936,0.166539,0.733995,0.000742823,0.0105772,-0.00203067
0,0,0,-0.260151,0.187134,0.94726,0.116276,0.00346323,0.00324302,-0.389813,0.187477,0.901609,-0.205123,0.147551,0.746892,0.000669524,0.0101642,-0.00182408
0,0,0,-0.284609,0.185938,0.940439,0.116276,0.00346323,0.00324302,-0.411206,0.185723,0.892422,-0.225694,0.147448,0.745763,0.000668108,0.0101659,-0.00180781
0,0,0,-0.30845,0.184692,0.933138,0.116276,0.00346323,0.00324302,-0.431943,0.184052,0.882921,-0.24596,0.147274,0.744091,0.00068073,0.0102488,-0.00180346
0,0,0,-0.331674,0.183285,0.925418,0.116276,0.00346323,0.00324302,-0.451984,0.182177,0.873225,-0.266102,0.147049,0.742462,0.000681072,0.0102607,-0.00178808
0,0,0,-0.35432,0.181786,0.917285,0.116276,0.00346323,0.00324302,-0.47134,0.1804,0.863304,-0.286185,0.146829,0.740891,0.000702918,0.0104025,-0.00178999
0,0,0,-0.376266,0.180311,0.908797,0.116276,0.00346323,0.00324302,-0.490048,0.178472,0.853229,-0.305922,0.146601,0.738894,0.00069651,0.0103703,-0.00176919
0,0,0,-0.397577,0.178694,0.900001,0.116276,0.00346323,0.00324302,-0.508063,0.176547,0.843032,-0.325561,0.146326,0.736976,0.00070402,0.0104273,-0.00175941
0,0,0,-0.418342,0.176956,0.890885,0.116276,0.00346323,0.00324302,-0.525517,0.174564,0.832682,-0.3451,0.145975,0.734911,0.000715971,0.0105086,-0.00175118
0,0,0,-0.438453,0.175292,0.881494,0.116276,0.00346323,0.00324302,-0.542296,0.17257,0.822274,-0.364649,0.145786,0.733114,0.000711769,0.0104909,-0.00173217
